State,District,Date,Year,Month,Avg_rainfall,Agency_name
Uttarakhand,Pithoragarh,2019-06-14,2019,06,0,IMD GRID MODEL
Uttarakhand,Pithoragarh,2019-06-16,2019,06,0,IMD GRID MODEL
Uttarakhand,Pithoragarh,2019-06-24,2019,06,4.404722229,IMD GRID MODEL
Uttarakhand,Dehradun,2019-03-23,2019,03,0,IMD GRID MODEL
Uttarakhand,Dehradun,2019-03-28,2019,03,0,IMD GRID MODEL
Uttarakhand,Dehradun,2019-04-02,2019,04,0.03895051,IMD GRID MODEL
Uttarakhand,Dehradun,2019-04-14,2019,04,0.110482169,IMD GRID MODEL
Uttarakhand,Dehradun,2019-04-16,2019,04,0,IMD GRID MODEL
Uttarakhand,Dehradun,2019-04-23,2019,04,0,IMD GRID MODEL
Uttarakhand,Dehradun,2019-04-24,2019,04,0.414818876,IMD GRID MODEL
Uttarakhand,Dehradun,2019-05-01,2019,05,0.951231597,IMD GRID MODEL
Uttarakhand,Dehradun,2019-05-11,2019,05,0.585134178,IMD GRID MODEL
Uttarakhand,Dehradun,2019-05-13,2019,05,1.849296765,IMD GRID MODEL
Uttarakhand,Dehradun,2019-05-15,2019,05,1.028847672,IMD GRID MODEL
Uttarakhand,Dehradun,2019-05-16,2019,05,0,IMD GRID MODEL
Uttarakhand,Dehradun,2019-05-22,2019,05,0,IMD GRID MODEL
Uttarakhand,Dehradun,2019-05-29,2019,05,0,IMD GRID MODEL
Uttarakhand,Dehradun,2019-05-31,2019,05,0,IMD GRID MODEL
Uttarakhand,Dehradun,2019-06-03,2019,06,1.91458574,IMD GRID MODEL
Uttarakhand,Dehradun,2019-06-06,2019,06,0,IMD GRID MODEL
Uttarakhand,Dehradun,2019-06-10,2019,06,0,IMD GRID MODEL
Uttarakhand,Dehradun,2019-06-22,2019,06,1.2258746,IMD GRID MODEL
Uttarakhand,Dehradun,2019-07-01,2019,07,1.874776768,IMD GRID MODEL
Uttarakhand,Dehradun,2019-07-08,2019,07,9.849066394,IMD GRID MODEL
Uttarakhand,Dehradun,2019-07-13,2019,07,4.421802845,IMD GRID MODEL
Uttarakhand,Dehradun,2019-07-14,2019,07,2.735150548,IMD GRID MODEL
Uttarakhand,Dehradun,2019-07-17,2019,07,8.086465345,IMD GRID MODEL
Uttarakhand,Dehradun,2019-07-20,2019,07,1.831095605,IMD GRID MODEL
Uttarakhand,Dehradun,2019-07-22,2019,07,1.244728334,IMD GRID MODEL
Uttarakhand,Dehradun,2019-07-30,2019,07,9.044623581,IMD GRID MODEL
Uttarakhand,Dehradun,2019-08-13,2019,08,8.242976533,IMD GRID MODEL
Uttarakhand,Dehradun,2019-08-17,2019,08,18.46705425,IMD GRID MODEL
Uttarakhand,Dehradun,2019-08-26,2019,08,24.55122701,IMD GRID MODEL
Uttarakhand,Dehradun,2019-08-30,2019,08,3.231138666,IMD GRID MODEL
Uttarakhand,Dehradun,2019-09-16,2019,09,0.340204902,IMD GRID MODEL
Uttarakhand,Dehradun,2019-09-20,2019,09,2.335676116,IMD GRID MODEL
Uttarakhand,Dehradun,2019-09-26,2019,09,5.53217436,IMD GRID MODEL
Uttarakhand,Dehradun,2019-10-01,2019,10,10.66978406,IMD GRID MODEL
Uttarakhand,Dehradun,2019-10-02,2019,10,9.092706116,IMD GRID MODEL
Uttarakhand,Dehradun,2019-10-03,2019,10,0.0025343,IMD GRID MODEL
